Designator,Mid X,Mid Y,Layer,Rotation
+5V,50.9300mm,20.9600mm,Top,0
3V3,108.7100mm,54.7400mm,Top,0
C1,80.3500mm,45.9300mm,Top,180
C2,78.0200mm,52.2600mm,Top,270
C3,55.9800mm,84.2000mm,Top,270
C4,60.8300mm,89.5100mm,Top,90
C5,77.0700mm,19.8900mm,Top,270
C6,125.8200mm,62.4200mm,Top,270
C7,129.0300mm,44.4800mm,Top,270
C8,85.0900mm,15.7500mm,Top,270
C9,134.7500mm,58.8000mm,Top,270
C10,132.7200mm,49.9100mm,Top,90
C11,117.2800mm,13.2900mm,Top,270
C12,152.9300mm,68.6100mm,Top,0
C13,60.9800mm,17.4000mm,Top,270
C14,109.2500mm,71.0000mm,Top,180
C15,63.0900mm,17.4000mm,Top,270
C16,54.1000mm,26.4200mm,Top,180
D1,79.9400mm,20.1400mm,Top,0
D2,77.0800mm,15.6300mm,Top,0
D3,129.6300mm,62.8000mm,Top,180
D4,122.8700mm,62.8000mm,Top,180
D5,132.6000mm,44.8400mm,Top,0
D6,128.9800mm,40.8400mm,Top,0
GND,96.5200mm,38.1000mm,Top,0
LED_3V3,99.0600mm,58.4200mm,Top,0
LED_5V,85.1500mm,41.3700mm,Top,180
R1,136.9300mm,47.6200mm,Top,180
R2,136.9100mm,45.3000mm,Top,0
R3,82.5900mm,22.3400mm,Top,270
R4,85.1000mm,22.3000mm,Top,90
R5,132.6500mm,62.4200mm,Top,270
R6,134.8200mm,62.4200mm,Top,90
R7,136.4600mm,7.8400mm,Top,0
R8,128.8800mm,10.3300mm,Top,180
R9,58.6100mm,89.5100mm,Top,270
R10,55.6800mm,88.7900mm,Top,180
R11,128.9000mm,8.1600mm,Top,180
R12,91.5900mm,24.9300mm,Top,180
R13,140.8800mm,61.6700mm,Top,180
R14,131.7600mm,9.2900mm,Top,270
R15,152.9300mm,66.3300mm,Top,0
R16,80.3500mm,43.1800mm,Top,180
R17,106.3000mm,58.4200mm,Top,0
U1,120.8300mm,13.6300mm,Top,180
U3,58.0100mm,15.6200mm,Top,0
