"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PARTREV";"POPULARITY";"PRICE";"REFDES";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";"STANDARD";"TP_SIGNAL_NAME";"TYPE";
"2";"";"2N2222-NPN-TO92-EBC";"TO92-EBC";"T2, T3";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"1";"1.8k";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";
"2";"100k";"R-EU_R0603";"R0603";"R1, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";
"6";"100n";"C-EUC0603";"C0603";"C1, C3, C11, C12, C13, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";
"2";"100nF";"C-EUC0603";"C0603";"C5, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";
"2";"100u";"CPOL-USC";"PANASONIC_C";"C2, C16";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"C";"";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R5, R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";
"1";"10k";"R-TRIMM3314G";"RTRIM3314G";"R7";"Trimm resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"X";"";"POT";"";"";"";
"1";"10n";"C-EUC0603";"C0603";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";
"1";"10uF";"C-EUC0603";"C0603";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";
"4";"1k";"R-EU_R0603";"R0603";"R2, R4, R6, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";
