Comment,Designator,Footprint,JLCPCB Part #
1.8k,R10,R0603,C4177
100k,"R1, R3",R0603,C2907088
100n,"C1, C3, C11, C12, C13, C15",C0603,C1590
100nF,"C5, C14",C0603,C1590
100u,"C2, C16",PANASONIC_C,C4747963
10k,"R5, R11",R0603,C15401
10k (Trimmer),R7,RTRIM3314G,C780220
10n,C4,C0603,C1589
10uF,C10,C0603,C1691
1k,"R2, R4, R6, R16",R0603,C2907002
1u,C6,C0603,C15849
1uF,"C8, C9",C0603,C15849
22uF,C7,C0603,C59461
3.3k,R9,R0603,C22978
330,R17,R0603,C23138
4.7k,"R8, R15",R0603,C23162
470,"R12, R13",R0603,C22356627
470k,R14,R0603,C2907171
BAT54 (Diode),"D1, D2, D3, D4, D5, D6",SOT23,C8590
GREEN LED,"LED_3V3, LED_5V",CHIPLED_0603,C12624
